Value	Count	Proc
1	2	8.47867190083e-06
2	3	1.27180078513e-05
3	4	1.69573438017e-05
4	5	2.11966797521e-05
5	6	2.54360157025e-05
6	9	3.81540235538e-05
7	8	3.39146876033e-05
8	12	5.0872031405e-05
9	13	5.51113673554e-05
10	20	8.47867190083e-05
11	11	4.66326954546e-05
12	20	8.47867190083e-05
13	23	9.75047268596e-05
14	21	8.90260549588e-05
15	29	0.000122940742562
16	38	0.000161094766116
17	44	0.000186530781818
18	46	0.000195009453719
19	61	0.000258599492975
20	71	0.00030099285248
21	77	0.000326428868182
22	82	0.000347625547934
23	106	0.000449369610744
24	108	0.000457848282645
25	122	0.000517198985951
26	138	0.000585028361158
27	158	0.000669815080166
28	171	0.000724926447521
29	190	0.000805473830579
30	247	0.00104711597975
31	249	0.00105559465165
32	270	0.00114462070661
33	289	0.00122516808967
34	303	0.00128451879298
35	311	0.00131843348058
36	353	0.0014964855905
37	379	0.00160670832521
38	431	0.00182715379463
39	445	0.00188650449794
40	502	0.00212814664711
41	499	0.00211542863926
42	573	0.00242913949959
43	545	0.00231043809298
44	616	0.00261143094546
45	611	0.0025902342657
46	666	0.00282339774298
47	707	0.00299721051694
48	771	0.00326852801777
49	774	0.00328124602562
50	812	0.00344234079174
51	851	0.0036076748938
52	923	0.00391290708223
53	987	0.00418422458306
54	1032	0.00437499470083
55	1019	0.00431988333347
56	1101	0.00466750888141
57	1057	0.00448097809959
58	1111	0.00470990224091
59	1147	0.00486251833513
60	1162	0.00492610837438
61	1260	0.00534156329753
62	1302	0.00551961540744
63	1355	0.00574430021281
64	1354	0.00574006087686
65	1384	0.00586724095538
66	1441	0.00610888310455
67	1469	0.00622758451116
68	1462	0.00619790915951
69	1532	0.00649466267604
70	1635	0.00693131427893
71	1643	0.00696522896653
72	1658	0.00702881900579
73	1688	0.0071559990843
74	1825	0.00773678810951
75	1763	0.00747394928058
76	1782	0.00755449666364
77	1892	0.00802082361819
78	1786	0.00757145400744
79	1936	0.00820735440001
80	1936	0.00820735440001
81	1984	0.00841084252563
82	1981	0.00839812451778
83	2015	0.00854226194009
84	1966	0.00833453447852
85	2061	0.00873727139381
86	2097	0.00888988748802
87	2137	0.00905946092604
88	2141	0.00907641826984
89	2121	0.00899163155083
90	2071	0.00877966475331
91	2186	0.00926718838761
92	2216	0.00939436846612
93	2226	0.00943676182563
94	2173	0.00921207702026
95	2182	0.00925023104381
96	2245	0.00951730920869
97	2323	0.00984797741282
98	2279	0.009661446631
99	2196	0.00930958174712
100	2302	0.00975895135786
101	2274	0.00964024995125
102	2362	0.0100133115149
103	2214	0.00938588979422
104	2259	0.00957665991199
105	2181	0.00924599170786
106	2222	0.00941980448183
107	2332	0.00988613143637
108	2267	0.00961057459959
109	2228	0.00944524049753
110	2263	0.00959361725579
111	2231	0.00945795850538
112	2172	0.00920783768431
113	2217	0.00939860780207
114	2206	0.00935197510662
115	2277	0.0096529679591
116	2250	0.00953850588844
117	2180	0.00924175237191
118	2221	0.00941556514588
119	2044	0.00866520268265
120	2175	0.00922055569216
121	2080	0.00881781877687
122	2136	0.00905522159009
123	2118	0.00897891354298
124	2057	0.00872031405001
125	1999	0.00847443256488
126	2003	0.00849138990868
127	2065	0.00875422873761
128	1939	0.00822007240786
129	1956	0.00829214111902
130	1970	0.00835149182232
131	1894	0.00802930229009
132	1871	0.00793179756323
133	1773	0.00751634264009
134	1841	0.00780461748472
135	1818	0.00770711275786
136	1739	0.00737220521777
137	1677	0.00710936638885
138	1725	0.00731285451447
139	1666	0.00706273369339
140	1683	0.00713480240455
141	1577	0.00668543279381
142	1534	0.00650314134794
143	1477	0.00626149919877
144	1469	0.00622758451116
145	1534	0.00650314134794
146	1441	0.00610888310455
147	1373	0.00582060825992
148	1401	0.00593930966653
149	1362	0.00577397556447
150	1384	0.00586724095538
151	1317	0.0055832054467
152	1270	0.00538395665703
153	1176	0.00498545907769
154	1228	0.00520590454711
155	1199	0.00508296380455
156	1127	0.00477773161612
157	1135	0.00481164630372
158	1142	0.00484132165538
159	1101	0.00466750888141
160	1070	0.00453608946695
161	991	0.00420118192686
162	1014	0.00429868665372
163	986	0.00417998524711
164	976	0.00413759188761
165	900	0.00381540235538
166	940	0.00398497579339
167	832	0.00352712751075
168	828	0.00351017016695
169	808	0.00342538344794
170	766	0.00324733133802
171	777	0.00329396403347
172	739	0.00313286926736
173	727	0.00308199723595
174	675	0.00286155176653
175	680	0.00288274844628
176	628	0.00266230297686
177	636	0.00269621766447
178	655	0.00277676504752
179	617	0.00261567028141
180	598	0.00253512289835
181	557	0.00236131012438
182	526	0.00222989070992
183	535	0.00226804473347
184	506	0.00214510399091
185	491	0.00208151395165
186	455	0.00192889785744
187	485	0.00205607793595
188	437	0.00185258981033
189	434	0.00183987180248
190	418	0.00177204242727
191	411	0.00174236707562
192	360	0.00152616094215
193	380	0.00161094766116
194	370	0.00156855430165
195	330	0.00139898086364
196	310	0.00131419414463
197	318	0.00134810883223
198	301	0.00127604012108
199	296	0.00125484344132
200	322	0.00136506617603
201	253	0.00107255199546
202	234	0.000992004612398
203	256	0.00108527000331
204	255	0.00108103066736
205	202	0.000856345861984
206	211	0.000894499885538
207	208	0.000881781877687
208	166	0.000703729767769
209	176	0.000746123127273
210	175	0.000741883791323
211	172	0.000729165783472
212	178	0.000754601799174
213	157	0.000665575744215
214	134	0.000568071017356
215	141	0.000597746369009
216	160	0.000678293752067
217	140	0.000593507033058
218	132	0.000559592345455
219	119	0.0005044809781
220	115	0.000487523634298
221	107	0.000453608946695
222	107	0.000453608946695
223	89	0.000377300899587
224	101	0.000428172930992
225	93	0.000394258243389
226	79	0.000334907540083
227	82	0.000347625547934
228	65	0.000275556836777
229	63	0.000267078164876
230	67	0.000284035508678
231	58	0.000245881485124
232	70	0.000296753516529
233	61	0.000258599492975
234	53	0.000224684805372
235	65	0.000275556836777
236	32	0.000135658750413
237	53	0.000224684805372
238	42	0.000178052109918
239	54	0.000228924141323
240	39	0.000165334102066
241	51	0.000216206133471
242	28	0.000118701406612
243	29	0.000122940742562
244	25	0.00010598339876
245	33	0.000139898086364
246	29	0.000122940742562
247	26	0.000110222734711
248	35	0.000148376758265
249	27	0.000114462070661
250	22	9.32653909092e-05
251	24	0.00010174406281
252	15	6.35900392563e-05
253	13	5.51113673554e-05
254	15	6.35900392563e-05
255	12	5.0872031405e-05
256	14	5.93507033058e-05
257	11	4.66326954546e-05
258	20	8.47867190083e-05
259	16	6.78293752067e-05
260	12	5.0872031405e-05
261	12	5.0872031405e-05
262	15	6.35900392563e-05
263	11	4.66326954546e-05
264	11	4.66326954546e-05
265	11	4.66326954546e-05
266	5	2.11966797521e-05
267	7	2.96753516529e-05
268	5	2.11966797521e-05
269	6	2.54360157025e-05
270	11	4.66326954546e-05
271	12	5.0872031405e-05
272	6	2.54360157025e-05
273	7	2.96753516529e-05
274	5	2.11966797521e-05
275	4	1.69573438017e-05
276	6	2.54360157025e-05
277	4	1.69573438017e-05
278	5	2.11966797521e-05
279	4	1.69573438017e-05
280	3	1.27180078513e-05
281	4	1.69573438017e-05
282	3	1.27180078513e-05
283	1	4.23933595042e-06
284	2	8.47867190083e-06
285	3	1.27180078513e-05
286	3	1.27180078513e-05
287	3	1.27180078513e-05
288	2	8.47867190083e-06
289	1	4.23933595042e-06
290	0	0.0
291	1	4.23933595042e-06
292	1	4.23933595042e-06
293	4	1.69573438017e-05
294	4	1.69573438017e-05
295	4	1.69573438017e-05
296	3	1.27180078513e-05
297	1	4.23933595042e-06
298	2	8.47867190083e-06
299	0	0.0
300	0	0.0
301	1	4.23933595042e-06
302	2	8.47867190083e-06
303	0	0.0
304	1	4.23933595042e-06
305	1	4.23933595042e-06
306	0	0.0
307	2	8.47867190083e-06
308	0	0.0
309	0	0.0
310	0	0.0
311	0	0.0
312	0	0.0
313	0	0.0
314	1	4.23933595042e-06
315	0	0.0
316	0	0.0
317	1	4.23933595042e-06
318	0	0.0
319	0	0.0
320	0	0.0
321	0	0.0
322	0	0.0
323	0	0.0
324	0	0.0
325	0	0.0
326	0	0.0
327	0	0.0
328	1	4.23933595042e-06
